Direction,Degrees,Radians,SinWind,CosWind,,
N,360,6.28318530717959,0.00000000000000330778431897103,1,,
NNE,22.5,0.392699081698724,0.38268343236509,0.923879532511287,,
NE,45,0.785398163397448,0.707106781186547,0.707106781186548,,
ENE,67.5,1.17809724509617,0.923879532511286,0.382683432365092,,
E,90,1.5707963267949,1,-0.00000000000000349148133884313,,
ESE,112.5,1.96349540849362,0.923879532511287,-0.382683432365089,,
SE,135,2.35619449019234,0.707106781186551,-0.707106781186544,,
SSE,157.5,2.74889357189107,0.382683432365089,-0.923879532511287,,
S,180,3.14159265358979,0.00000000000000323108914886517,-1,,
SSW,202.5,3.53429173528852,-0.382683432365092,-0.923879532511286,,
SW,225,3.92699081698724,-0.707106781186546,-0.707106781186549,,
WSW,247.5,4.31968989868597,-0.923879532511289,-0.382683432365085,,
W,270,4.71238898038469,-1,-0.000000000000000183697019872103,,
WNW,292.5,5.10508806208341,-0.923879532511288,0.382683432365086,,
NW,315,5.49778714378214,-0.707106781186546,0.707106781186549,,
NNW,337.5,5.89048622548086,-0.382683432365092,0.923879532511286,,
